id,timestamp,type,sub_type,decoy.group,attacker.id,decoy.name,decoy.port,decoy.appliance.name,kill_chain_phase,tags,timestamp(Asia/Kolkata)
2022-06-16T06:04:35.095897-recon-8628ff5d-ba2e-4581-a7b4-5d8241c875f1,2022-06-16T06:04:16Z,recon,,default1,ip243.208-100-26.static.steadfastdns.net,reports.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-16T11:34:16+05:30
2022-06-16T06:04:33.840934-recon-3b3b8de5-d9b4-414d-9dc1-ee13d088eadb,2022-06-16T06:04:15Z,recon,,default1,ip248.208-100-26.static.steadfastdns.net,reports.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-16T11:34:15+05:30
2022-06-16T04:44:21.917046-recon-3ec75e8a-1c94-4a72-9c77-b612fe4e4734,2022-06-16T04:44:03Z,recon,,default1,ec2-18-207-35-230.compute-1.amazonaws.com,citrix.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-16T10:14:03+05:30
2022-06-15T20:32:29.787366-recon-1d7d9e55-1d59-4540-a5f2-de0b0a440d7f,2022-06-15T20:32:12Z,recon,,default1,ip244.208-100-26.static.steadfastdns.net,connect.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-16T02:02:12+05:30
2022-06-15T20:32:29.656639-recon-bf29520f-63fd-45b7-90fe-ec2a5913051e,2022-06-15T20:32:12Z,recon,,default1,ip243.208-100-26.static.steadfastdns.net,connect.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-16T02:02:12+05:30
2022-06-15T18:50:59.494557-recon-a1a8806f-0d2c-4ab9-a8d7-62f739888fd3,2022-06-15T18:50:42Z,recon,,default1,198.235.24.29,connect.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-16T00:20:42+05:30
2022-06-15T15:43:22.802837-recon-6b37fc9b-ac2a-415e-9211-ece178d292f1,2022-06-15T15:43:05Z,recon,,default1,198.235.24.161,connect.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-15T21:13:05+05:30
2022-06-15T13:50:17.605694-recon-a1a63d92-2ffc-4cb6-a5d7-6ba67f2dfcc8,2022-06-15T13:50:00Z,recon,,default1,198.235.24.154,connect.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-15T19:20:00+05:30
2022-06-15T13:27:39.242811-recon-16c14d25-1407-400d-ad8d-7ad14585dd1d,2022-06-15T13:27:22Z,recon,,default1,205.210.31.155,adfs.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-15T18:57:22+05:30
2022-06-15T10:29:30.619346-recon-b853fb57-5b1f-4750-bfe7-387e2173a6c5,2022-06-15T10:29:15Z,recon,,default1,205.210.31.17,vpn1.adityabirla.com,,ThreatIntel-52.7.93.27,Reconnaissance,,2022-06-15T15:59:15+05:30
